Pair.ID,LUCAS_ID,X_LAEA,Y_LAEA,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW,Distance,PA
112,52283958,5228000,3958000,Other leguminous and mixtures for fodder,Fodder crops,Cropland,Agriculture,0.200448508,7.15887528,190.4260825,0.001052632,4.49752883,56320.51136,TRUE
113,41183292,4118000,3292000,Sugar beet,Root crops,Cropland,Agriculture,1.073107663,8.194640339,217.977433,0.004923022,29.14723518,24166.09195,TRUE
114,52263450,5226000,3450000,Maize,Cereals,Cropland,Agriculture,0.693634424,3.984708393,105.9932432,0.006544138,6.329113924,95036.83496,TRUE
115,34882068,3488000,2068000,Other fruit trees and berries,Permanent crops: fruit trees,Cropland,Agriculture,0.226004084,4.802586794,127.7488087,0.001769129,2.634631317,46000,TRUE
116,40022438,4002000,2438000,Lucerne,Fodder crops,Cropland,Agriculture,0.668885774,22.92630227,609.8396403,0.001096822,5.261410788,108406.6419,TRUE
117,30061684,3006000,1684000,Oats,Cereals,Cropland,Agriculture,0.170857227,19.52654021,519.4059697,0.000328947,3.257467994,17888.54382,TRUE
118,48442898,4844000,2898000,Rape and turnip rape,Non-permanent industrial crops,Cropland,Agriculture,0.138947728,0.803439244,21.37148389,0.006501548,1.364785173,16492.4225,TRUE
119,41062772,4106000,2772000,Apple fruit,Permanent crops: fruit trees,Cropland,Agriculture,0.358878783,8.662591322,230.4249292,0.001557465,4.689498366,48826.22246,TRUE
120,38982814,3898000,2814000,Barley,Cereals,Cropland,Agriculture,0.362032998,8.867185031,235.8671218,0.001534902,11.21400909,17088.00749,TRUE
121,35742886,3574000,2886000,Maize,Cereals,Cropland,Agriculture,0.671038448,8.350700683,222.1286382,0.003020945,8.52917009,80993.82693,TRUE
122,41763142,4176000,3142000,Rape and turnip rape,Non-permanent industrial crops,Cropland,Agriculture,0.85775076,14.295846,380.2695035,0.002255639,17.83216783,96747.09298,TRUE
123,30922224,3092000,2224000,Barley,Cereals,Cropland,Agriculture,0.859375,12.65625,336.65625,0.002552678,11.33366717,38470.76812,TRUE
124,27162028,2716000,2028000,Olive groves,Other permanent crops,Cropland,Agriculture,0.672559853,25.5267035,679.0103131,0.0009905,9.830621056,163975.6079,TRUE
125,32281848,3228000,1848000,Common wheat,Cereals,Cropland,Agriculture,0.251727043,10.48862679,278.9974726,0.000902256,1.28077179,4000,TRUE
126,39082708,3908000,2708000,Lucerne,Fodder crops,Cropland,Agriculture,0.543371522,22.48954355,598.2218585,0.000908311,9.15248637,22803.5085,TRUE
127,39122716,3912000,2716000,Common wheat,Cereals,Cropland,Agriculture,0.414309484,35.54877673,945.597461,0.000438146,9.94005994,20591.26028,TRUE
128,29281840,2928000,1840000,Oats,Cereals,Cropland,Agriculture,0,11.65359254,309.9855616,0,2.849569251,90000,TRUE
129,33343208,3334000,3208000,Other root crops,Root crops,Cropland,Agriculture,0.887403943,5.268960909,140.1543602,0.006331619,15.33239038,273890.4891,TRUE
130,50263082,5026000,3082000,Other fresh vegetables,"Dry pulses, vegetables, and flowers",Cropland,Agriculture,0,7.051871726,187.5797879,0,13.43729263,78587.53082,TRUE
131,37162926,3716000,2926000,Maize,Cereals,Cropland,Agriculture,0.938218671,8.573377509,228.0518417,0.004114059,15.42772375,53141.32102,TRUE
132,39783064,3978000,3064000,Potatoes,Root crops,Cropland,Agriculture,0.547940899,6.566593314,174.6713822,0.003136982,9.720448418,40447.49683,TRUE
133,37362918,3736000,2918000,Common wheat,Cereals,Cropland,Agriculture,0.841848234,13.7709742,366.3079138,0.002298198,11.73740053,34176.01498,TRUE
134,46903344,4690000,3344000,Rye,Cereals,Cropland,Agriculture,0.280452779,2.383848623,63.41037337,0.004422822,1.922120961,43081.31846,TRUE
135,55282384,5528000,2384000,Sunflower,Non-permanent industrial crops,Cropland,Agriculture,0.551756885,9.616334283,255.7944919,0.002157032,12.67208492,38052.59518,TRUE
136,55362256,5536000,2256000,Sunflower,Non-permanent industrial crops,Cropland,Agriculture,0.218191377,2.521322584,67.06718075,0.003253326,6.135877611,101390.3348,TRUE
137,55442260,5544000,2260000,Sunflower,Non-permanent industrial crops,Cropland,Agriculture,0.454322386,6.214294702,165.3002391,0.002748468,12.55982835,95707.88891,TRUE
138,46503324,4650000,3324000,Common wheat,Cereals,Cropland,Agriculture,0.194607268,2.826438899,75.18327472,0.002588438,0.665446681,18439.08891,TRUE
139,53842676,5384000,2676000,Lucerne,Fodder crops,Cropland,Agriculture,1.30518346,17.72471365,471.477383,0.002768284,15.14003295,64404.96875,TRUE
140,57962548,5796000,2548000,Common wheat,Cereals,Cropland,Agriculture,0.256219357,6.882755281,183.0812905,0.001399484,8.521594684,22360.67978,TRUE
141,64141632,6414000,1632000,Other fruit trees and berries,Permanent crops: fruit trees,Cropland,Agriculture,0.457015986,13.41563055,356.8557726,0.001280674,6.38510143,46389.65402,TRUE
1,44322920,4432000,2920000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.137840376,29.09546166,773.9392801,0.001470193,11.61825726,84970.58314,FALSE
2,38842666,3884000,2666000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.338957908,13.13307374,349.3397614,0.003832824,10.59350133,10198.03903,FALSE
3,50322994,5032000,2994000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.930303648,7.837103458,208.466952,0.004462595,18.70444003,38209.94635,FALSE
4,27781794,2778000,1794000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0,12.51022581,332.7720065,0,1.457677654,214895.3234,FALSE
5,37582662,3758000,2662000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.316299559,8.824082232,234.7205874,0.005607943,19.09039065,112445.5424,FALSE
6,30002386,3000000,2386000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,4.200891862,40.21999257,1069.851802,0.003926611,25.36195706,84876.3807,FALSE
7,31122376,3112000,2376000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,6.940141932,28.1703178,749.3304536,0.009261791,46.14489864,67675.69726,FALSE
8,31122376,3112000,2376000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,6.940141932,28.1703178,749.3304536,0.009261791,46.14489864,65145.9899,FALSE
9,41941786,4194000,1786000,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,0.679117752,4.23218309,112.5760702,0.006032523,7.243029203,178044.9381,FALSE
10,33081892,3308000,1892000,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,0.47209385,13.4743453,358.417585,0.001317162,6.60690571,65969.69001,FALSE
11,51922944,5192000,2944000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.180171406,16.05895338,427.16816,0.002762779,14.37625083,80000,FALSE
12,51922944,5192000,2944000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.180171406,16.05895338,427.16816,0.002762779,14.37625083,55713.55311,FALSE
